HUNDENAME,GEBURTSJAHR_HUND,GESCHLECHT_HUND
Mia,2012,w
Cooper,2013,m
unbekannt,2004,w
Lucky,2010,m
Ory,2011,m
Timmy,2002,m
Argo vom Buechlisberg,2012,m
Jambo (Winston),2014,m
Toyah (I'Toyah),2013,w
Boo,2013,m
Genette Bleue de la Vallée,2010,w
Corin,2007,w
Mylo,2012,m
Gioia,2006,w
Conny,2009,w
Porter,2007,m
Lia,2012,w
Benja,2009,w
Frieda,2011,w
YeiKo,2011,m
Merlin,2014,m
Jamila,2012,w
Lenny,2011,m
Kira,2011,w
Zeus,2008,m
Dino,2002,m
Luna,2009,w
Pituxa,2001,w
Salenta,2007,w
Tobi,2010,m
Sancho,2004,m
Lucy,2009,w
Paco,2001,m
Snow,2010,w
Sedi,2008,m
Pocker,2011,m
Haru,2004,w
Caruso,2000,m
Habano,2007,m
Aira,2004,w
Laura,2002,w
Zaira,2013,w
Nemo,2005,m
Cara,2013,w
Lord,2010,m
Pinki,2008,w
Tandy,2003,m
Eva (Evchen),2002,w
Benjamin,2012,m
Arco,2007,m
Merlin,2003,m
Pufy,2007,w
Ruedi,2008,m
Mascha,2009,w
Nucha,2009,w
Copia,2007,w
Pinot,2012,m
Coca,2006,w
Pippa,2009,w
Rocky,2003,m
Yvi,2013,m
Leny,2013,m
Pari,2015,w
Ques,2003,m
Cinamon,2006,w
Scricc,2004,m
Joy,2006,w
Ninu,2010,m
Cleo,2003,w
Bentley,2014,w
Beluga,2012,w
Leni,2008,w
Ficelle,2010,w
Renzo,2015,m
Rex,2004,m
Baby,2012,w
Nepomuk,2007,m
Polo,2010,m
Lager,2006,w
Bobby,2011,m
Douky (Bejou),2011,m
Boncuk,2010,w
Fonzy,2010,m
Boncuk,2010,w
Bailey,2008,m
Parusch,2005,w
Bolero,2006,m
Raffi,2013,w
Pixie,2009,w
Lady Ringo von Valetscha,2013,w
Pepper,2006,w
Fellini,2004,m
